Product Name,Product Price,Date,Source,,Total items,37
"Apple iPhone 11, 64GB, Purple - Unlocked (Renewed Premium)",469,9/8/2022,Amazon,,,
"Apple iPhone 11, 256GB, Unlocked - Purple (Renewed)",430,9/8/2022,Amazon,,,
"Apple iPhone 11 Pro Max, 256GB, Gold - Fully Unlocked (Renewed Premium)",729,9/8/2022,Amazon,,,
"Apple iPhone 12, 64GB, Green - Fully Unlocked (Renewed)",661,9/8/2022,Amazon,,,
"Apple iPhone 13 Pro Max, 512GB, Gold - Unlocked (Renewed)","1,319",9/8/2022,Amazon,,,
"Apple iPhone 11 Pro, US Version, 256GB, Silver - Unlocked (Renewed)",494,9/8/2022,Amazon,,,
"Apple iPhone 12, 64GB, White - Unlocked (Renewed Premium)",629,9/8/2022,Amazon,,,
"Apple iPhone 12 Mini, 64GB, White - Unlocked (Renewed Premium)",529,9/8/2022,Amazon,,,
"Apple iPhone 12 Pro Max, 128GB, Gold - Unlocked (Renewed Premium)",939,9/8/2022,Amazon,,,
"Apple iPhone 12 Pro Max, 256GB, Pacific Blue - Unlocked (Renewed Premium)",999,9/8/2022,Amazon,,,
"Apple iPhone 12 Pro Max, 128GB, Pacific Blue - Unlocked (Renewed Premium)",939,9/8/2022,Amazon,,,
"Apple iPhone XR, 64GB, Black - Unlocked (Renewed Premium)",329,9/8/2022,Amazon,,,
"Apple iPhone SE (2nd Generation), 64GB, Red - Unlocked (Renewed)",160,9/8/2022,Amazon,,,
"SAMSUNG Galaxy S20 FE 5G Cell Phone, Factory Unlocked Android Smartphone, 128GB, Pro Grade Camera, 30X Space Zoom, Night Mode, US Version, Cloud Mint Green",599,9/8/2022,Amazon,,,
"Apple iPhone 12, 64GB, Red - Unlocked (Renewed Premium)",629,9/8/2022,Amazon,,,
iPhone for Seniors: The Most Complete Easy-to-Follow Guide to Master Your New iPhone. Unlock All Its Features with Step-by-Step Illustrated Instructions and Useful Tips and Tricks,17,9/8/2022,Amazon,,,
Seniors Guide to iPhone: The Most Exhaustive and Intuitive Step-by-Step Manual to Master your New iPhone with Tips and Tricks for Senior Beginner Users (Updated and Illustrated Edition),18,9/8/2022,Amazon,,,
"Apple iPhone 12 Pro Max, 128GB, Graphite - Unlocked (Renewed Premium)",939,9/8/2022,Amazon,,,
Motorola Razr 5G | Unlocked| Made for US by Motorola | 8/256GB | 48MP Camera | 2020 | Blush Gold,"1,399",9/8/2022,Amazon,,,
"Apple iPhone 12 Pro Max, 256GB, Graphite - Unlocked (Renewed Premium)",999,9/8/2022,Amazon,,,
"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed Premium)",629,9/8/2022,Amazon,,,
"SAMSUNG Galaxy S21 Ultra 5G Factory Unlocked Android Cell Phone 128GB US Version Smartphone Pro-Grade Camera 8K Video 108MP High Res, Phantom Silver","1,099",9/8/2022,Amazon,,,
"Apple iPhone 12, 256GB, Blue - Unlocked (Renewed Premium)",729,9/8/2022,Amazon,,,
"Apple iPhone 13, 128GB, Red - Unlocked (Renewed)",661,9/8/2022,Amazon,,,
"Apple iPhone 12 Pro, 128GB, Pacific Blue - Unlocked (Renewed Premium)",799,9/8/2022,Amazon,,,
"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed Premium)",529,9/8/2022,Amazon,,,
OnePlus 10 Pro | 5G Android Smartphone | 8GB+128GB | U.S. Unlocked | Triple Camera co-Developed with Hasselblad | Emerald Forest,799,9/8/2022,Amazon,,,
"Apple iPhone 12 Mini, 64GB, Black - Unlocked (Renewed Premium)",529,9/8/2022,Amazon,,,
"2 Pack iPhone Super Fast Charger【Apple MFi Certified】 20W Rapid Wall Charger Block PD Adapter USB C to Lightning Cable with 6FT Fast Charging Cable Compatible with iPhone 13/12/11,Mini,Pro/XR/8 Plus",26,9/8/2022,Amazon,,,
"mophie Wireless Charge Pad - Apple Optimized - 7.5W Qi Wireless Technology for Apple Airpods, iPhone 11, 11 Pro, 11 Pro Max, XR, XS Max, X/XS, 8 and 8 Plus - Polished Black (409903447)",39,9/8/2022,Amazon,,,
"Total Wireless Apple iPhone SE 5G (3rd Generation), 64GB, Black - Prepaid Smartphone (TWAPISE3C64BKP)",379,9/8/2022,Amazon,,,
"Apple iPhone XS Max, 64GB, Silver - Unlocked (Renewed Premium)",399,9/8/2022,Amazon,,,
"Samsung Galaxy Note 10, 256GB, Aura Black - Fully Unlocked (Renewed Premium)",499,9/8/2022,Amazon,,,
"Apple iPhone 12 Mini, 64GB, Red - Unlocked (Renewed Premium)",529,9/8/2022,Amazon,,,
Moto G Stylus | 2022 | 2-Day battery | Unlocked| Made for US by Motorola | 6/128GB | 48MP Camera | Metallic Rose,280,9/8/2022,Amazon,,,
Nokia XR20 5G | Android 11 | Unlocked Smartphone | Dual SIM | US Version | 6/128GB | 6.67-Inch Screen | 48MP Dual Camera | Polar Night,542,9/8/2022,Amazon,,,
"OnePlus 9 Pro Morning Mist, 5G Unlocked Android Smartphone U.S Version,12GB RAM+256GB Storage,120Hz Fluid Display,Hasselblad Quad Camera,65W Ultra Fast Charge,50W Wireless Charge,with Alexa Built-in",699,9/8/2022,Amazon,,,
